USER_ID,COUNT(DISTINCT R.BUSINESS_ID),,,,,,,,,,,,
#NAME?,1202,,,,," Q2. Find the top 10 users who have reviewed the most businesses in 'restaurant' category .

SELECT * from tbl_yelp_reviews LIMIT 10;
SELECT r.user_id , COUNT(DISTINCT r.business_id)
from tbl_yelp_reviews  r inner join  tbl_yelp_business  b 
on r.business_id=b.business_id
where b.categories ilike '%restaurant%'     --'ilke' is used for getting rid of case sensitive issue--
GROUP BY 1
ORDER BY 2 DESC
LIMIT 10",,,,,,,
_BcWyKQL16ndpBdggh2kNA,1166,,,,,,,,,,,,
fr1Hz2acAb3OaL3l6DyKNg,1058,,,,,,,,,,,,
1HM81n6n4iPIFU5d2Lokhw,1009,,,,,,,,,,,,
Xw7ZjaGfr0WNVt6s_5KZfA,926,,,,,,,,,,,,
ET8n-r7glWYqZhuR6GcdNw,891,,,,,,,,,,,,
pou3BbKsIozfH50rxmnMew,849,,,,,,,,,,,,
VL12EhEdT4OWqGq0nIqkzw,832,,,,,,,,,,,,
wXdbkFZsfDR7utJvbWElyA,773,,,,,,,,,,,,
ouODopBKF3AqfCkuQEnrDg,744,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
